"type","title","town","lat","long"
"PLACE","Conwy Suspension Bridge",NA,53.281128,-3.828009
"PLACE","Aberconwy House",NA,53.282101,-3.82732
"PLACE","Whiteford and North Gower",NA,51.63,-4.2503
"PLACE","Rhosili and South Gower Coast","Rhosili",51.568525,-4.286882
"PLACE","Ogwen Cottage","Bethesda",53.123328,-4.018443
"PLACE","Craflwyn and Beddgelert","near Beddgelert",53.019931,-4.088592
"PLACE","Carneddau and Glyderau","Bethesda",53.123603,-4.020383
"PLACE","Heysham Coast",NA,54.046973,-2.902574
"PLACE","Fingle Bridge","Exeter",50.695276,-3.780949
"PLACE","Parke","near Bovey Tracey",50.594858,-3.689714
"PLACE","Bradley","Newton Abbot",50.5256,-3.62486
"PLACE","Cwmtydu to New Quay",NA,52.191394,-4.406872
"PLACE","Castle Drogo","near Exeter",50.695903,-3.8110956
"PLACE","Woolacombe","Woolacombe",51.178733,-4.167389
"PLACE","Compton Castle","Paignton",50.472198,-3.59649
"PLACE","Mortehoe","Mortehoe",51.187373,-4.198934
"PLACE","Finch Foundry","Okehampton",50.730202,-3.92589
"PLACE","Penbryn","near Cardigan",52.139237,-4.491561
"PLACE","Coleton Fishacre","Kingswear",50.345299,-3.53439
"PLACE","Greenway","near Brixham",50.382401,-3.5872
"PLACE","Penrhyn Castle and Garden","Bangor",53.217338,-4.1013778
"PLACE","Brownstone and Coleton Camp",NA,50.338755,-3.547343
"PLACE","Baggy Point","Croyde",51.136017,-4.245381
"PLACE","Arnside and Silverdale","near Arnside",54.189403,-2.844373
"PLACE","Little Dartmouth","Dartmouth",50.333683,-3.57502
"PLACE","Glan Faenol","Bangor",53.204951,-4.196569
"PLACE","Coed Môr",NA,53.222475,-4.183756
"PLACE","Sizergh","near Kendal",54.284168,-2.7716124
"PLACE","Plas Newydd House and Garden","Llanfairpwll",53.202599,-4.21541
"PLACE","Cilgerran Castle","near Cardigan",52.0574,-4.63413
"PLACE","Mwnt","near Cardigan",52.1354,-4.64063
"PLACE","Llanbedrog beach",NA,52.857872,-4.484416
"PLACE","Morfa and Nant Bach",NA,52.99772,-4.421594
"PLACE","Fell Foot","Windermere",54.27402,-2.952607
"PLACE","Dalton Castle","Dalton-in-Furness",54.153801,-3.18896
"PLACE","Pistyll","Pwllheli",52.951053,-4.487515
"PLACE","Colby Woodland Garden","near Amroth",51.742001,-4.67168
"PLACE","Dunsland","Holemoor, Nr Holsworthy",50.825348,-4.258894
"PLACE","Lydford Gorge","near Tavistock",50.641089,-4.1102412
"PLACE","Sandscale Haws National Nature Reserve","near Barrow-in-Furness",54.170756,-3.225736
"PLACE","Tudor Merchant's House","Tenby",51.671299,-4.69714
"PLACE","Durham Coast","Seaham",54.823619,-1.322313
"PLACE","Plas yn Rhiw","Pwllheli",52.823399,-4.616
"PLACE","Bideford Bay and Hartland","Hartland nr Bideford",51.013201,-4.443378
"PLACE","Crook Hall Gardens",NA,54.782583,-1.575158
"PLACE","Porthdinllaen",NA,52.942939,-4.567633
"PLACE","Claife Viewing Station and Windermere West Shore","Hawkshead",54.351458,-2.942319
"PLACE","Hill Top","Ambleside",54.351101,-2.97054
"PLACE","Mill Bay","East Portlemouth",50.229439,-3.7666917
"PLACE","Cadover Bridge",NA,50.463626,-4.036676
"PLACE","Windermere and Footprint","Windermere",54.389002,-2.9117954
"PLACE","Overbeck's Garden at Sharpitor","Salcombe",50.2202,-3.78489
"PLACE","Beatrix Potter Gallery and Hawkshead","Hawkshead",54.373798,-2.99525
"PLACE","Townend","Windermere",54.412498,-2.91477
"PLACE","Shaugh Bridge",NA,50.453951000000004,-4.06731
"PLACE","South Milton Sands","near Kingsbridge",50.259597,-3.857038
"PLACE","Porth y Swnt","Pwllheli",52.804818,-4.7116944
"PLACE","Wray Castle","Ambleside",54.400611,-2.964237
"PLACE","Bolberry Down","near Salcombe",50.223454,-3.827255
"PLACE","East Soar","near Malborough",50.2208852,-3.8274018
"PLACE","Steam Yacht Gondola","Coniston",54.363899,-3.06483
"PLACE","Keld Chapel","Shap",54.523859,-2.691178
"PLACE","Stagshaw Garden and Ambleside","near Windermere",54.417745,-2.956934
"PLACE","Porthor",NA,52.832284,-4.7235739
"PLACE","Buckland Abbey","Yelverton",50.481098,-4.13074
"PLACE","Tarn Hows and Coniston","near Coniston",54.387268,-3.038192
"PLACE","Plymbridge Woods","Plympton",50.4089,-4.0786
"PLACE","Mynydd Mawr and Braich y Pwll","Aberdaron",52.798201,-4.760568
"PLACE","Penshaw Monument","Penshaw",54.883243,-1.48092
"PLACE","Lundy",NA,51.1735,-4.67047
"PLACE","Cleddau Woodlands","West Williamston: SA68 0TL",51.719232,-4.878005
"PLACE","Saltram","Plymouth",50.3815,-4.0854799999999996
"PLACE","Eskdale and Duddon Valley",NA,54.353694,-3.190045
"PLACE","Morwenstow",NA,50.908706,-4.553768
"PLACE","Washington Old Hall","Washington",54.9028,-1.5165
"PLACE","Cotehele","near Saltash",50.494301,-4.22487
"PLACE","Cemaes to Llanbadrig",NA,53.415269,-4.446692
"PLACE","Cotehele Mill","near Saltash",50.492164,-4.233089
"PLACE","Lawrence House","Launceston",50.638599,-4.36567
"PLACE","Duckpool",NA,50.87657,-4.557695
"PLACE","Allan Bank and Grasmere","Ambleside",54.460536,-3.029754
"PLACE","Sandymouth",NA,50.861586,-4.553875
"PLACE","Northcott Mouth",NA,50.847404,-4.553248
"PLACE","Wembury","Wembury",50.316836,-4.084386
"PLACE","Acorn Bank","near Penrith",54.646301,-2.59228
"PLACE","The Langdales","near Ambleside",54.44897,-3.0902951
"PLACE","Stackpole","near Pembroke",51.612813,-4.926159
"PLACE","Souter Lighthouse and The Leas","Whitburn",54.967999,-1.36124
"PLACE","Cemlyn","Cemaes Bay",53.412223,-4.5154109
"PLACE","Gibside","Gateshead",54.920502,-1.73174
"PLACE","Porth Dafarch",NA,53.287687,-4.650223
"PLACE","Antony","Torpoint",50.3848,-4.22563
"PLACE","Cadsonbury","Callington",50.4827358,-4.3363974
"PLACE","Aira Force and Gowbarrow Park","Penrith",54.5751,-2.92949
"PLACE","Strumble Head to Cardigan","Strumble Head, Pencaer to Cardigan",52.006828,-5.064023
"PLACE","Freshwater West and Gupton Farm",NA,51.65007,-5.04454
"PLACE","Wasdale","near Seascale",54.4561,-3.2626
"PLACE","Borrowdale and Derwent Water","near Keswick",54.523286,-3.148592
"PLACE","Southwood Estate","Newgale, Roch",51.8509,-5.1142
"PLACE","Cherryburn","Stocksfield",54.957001,-1.88361
"PLACE","George Stephenson's Birthplace","near Wylam",54.979287,-1.80473
"PLACE","Buttermere Valley","near Cockermouth",54.523625,-3.268423
"PLACE","Solva Coast","Caerfi to Newgale",51.874002,-5.188659
"PLACE","Abereiddi to Abermawr",NA,51.93824,-5.207767
"PLACE","Seaton Delaval Hall","Seaton Sluice",55.082846,-1.496508
"PLACE","Boscastle",NA,50.690974,-4.695761
"PLACE","Marloes Sands and Mere",NA,51.726572,-5.218818
"PLACE","The St David’s Visitor Centre and Shop on the high street St Davids’s, Pembrokeshire.","St David's",51.880299,-5.26292
"PLACE","Ennerdale","Cleator Moor",54.524792,-3.414473
"PLACE","St David's Peninsula","St David's Peninsula",51.880868,-5.26617
"PLACE","Tintagel Old Post Office","Tintagel",50.663371,-4.751645
"PLACE","Allen Banks and Staward Gorge","Hexham",54.964001,-2.31392
"PLACE","Lansallos","Looe",50.33766,-4.5681627
"PLACE","Hadrian's Wall and Housesteads Fort","Hexham",55.013199,-2.32881
"PLACE","Lanhydrock","Bodmin",50.450248,-4.694002
"PLACE","Lantivet Bay","Lanteglos by Fowey",50.336196,-4.590936
"PLACE","Whitehaven Coast","Whitehaven",54.543763,-3.598891
"PLACE","Lantic Bay",NA,50.333005,-4.6013886
"PLACE","Wordsworth House and Garden","Cockermouth",54.663601,-3.36678
"PLACE","Port Quin","near Polzeath",50.588931,-4.866948
"PLACE","Wallington","near Morpeth",55.1507,-1.95144
"PLACE","Pentire","near Wadebridge",50.581,-4.905
"PLACE","Trevose Head","near Padstow",50.546834,-5.0341244
"PLACE","Cragside","Morpeth",55.312599,-1.8817
"PLACE","Carnewas at Bedruthan","near Padstow",50.481323,-5.0320612
"PLACE","The Dodman","St Austell",50.21985,-4.803553
"PLACE","Trerice","near Newquay",50.384998,-5.03814
"PLACE","Crantock Beach","near Newquay",50.407092,-5.113636
"PLACE","Carne and Pendower","Truro",50.207385,-4.937177
"PLACE","Holywell","near Newquay",50.385996,-5.1424974
"PLACE","Dunstanburgh Castle","Alnwick",55.4911,-1.59632
"PLACE","Trelissick","near Truro",50.217241,-5.0337821
"PLACE","Porth",NA,50.157783,-4.9867335
"PLACE","Embleton and Newton Links","Alnwick",55.512768,-1.618353
"PLACE","St Anthony Head","Truro",50.141698,-5.0145383
"PLACE","St Agnes Head","St Agnes",50.31736,-5.2322227
"PLACE","Wheal Coates","St Agnes",50.306226,-5.2315736
"PLACE","Chapel Porth","St Agnes",50.300003,-5.234277
"PLACE","Bosveal",NA,50.107933,-5.1134464
"PLACE","Glendurgan Garden","near Falmouth",50.10914,-5.116531
"PLACE","Farne Islands",NA,55.616001,-1.6538
"PLACE","East Pool Mine","near Redruth",50.231016,-5.262162
"PLACE","Trevithick Cottage","Camborne",50.2029,-5.3122
"PLACE","Godrevy","near Hayle",50.238321,-5.393736
"PLACE","Lindisfarne Castle","Berwick-upon-Tweed",55.6698,-1.78756
"PLACE","Penrose","Helston",50.086196,-5.301873
"PLACE","Poldhu Cove","near Helston",50.03445,-5.25956
"PLACE","Godolphin","Helston",50.1367,-5.36116
"PLACE","Gunwalloe",NA,50.041934,-5.2701813
"PLACE","Mullion Cove","near Helston",50.015334,-5.2575991
"PLACE","Lizard Point","near Helston",49.959434,-5.2063796
"PLACE","Kynance Cove","Nr. Helston",49.97421,-5.2251121
"PLACE","St Michael's Mount","Marazion",50.118099,-5.47565
"PLACE","Trengwainton Garden","near Penzance",50.127899,-5.5695
"PLACE","Levant Mine and Beam Engine","near St Just",50.151001,-5.6827
"PLACE","Botallack","near St Just",50.140729,-5.689126
"PLACE","Cape Cornwall","Penzance",50.127187,-5.7088012
"PLACE","Porthcurno","Porthcurno",50.0473,-5.6558
"PLACE","Castle Ward","Downpatrick",54.368301,-5.58034
"PLACE","Strangford Lough","Strangford",54.373741,-5.579002
"PLACE","Murlough National Nature Reserve","Dundrum",54.234,-5.8636
"PLACE","Mount Stewart","Newtownards",54.551498,-5.60127
"PLACE","The Mournes","near Newcastle",54.171137,-6.083736
"PLACE","Rowallane Garden","Saintfield",54.447102,-5.82684
"PLACE","Lisnabreeny and Cregagh Glen","Belfast",54.561886,-5.8889723
"PLACE","Minnowburn","Belfast",54.548434,-5.9526157
"PLACE","The Crown Bar","Belfast",54.5947,-5.9342
"PLACE","Derrymore House","Newry",54.189899,-6.38167
"PLACE","Islandmagee","Islandmagee",54.847016000000004,-5.7272294
"PLACE","Divis and the Black Mountain","near Belfast",54.60074,-6.041651
"PLACE","Glenoe","Gleno",54.799617,-5.832079
"PLACE","Patterson's Spade Mill","Templepatrick",54.700777,-6.043718
"PLACE","Templetown Mausoleum","Templepatrick",54.706,-6.095
"PLACE","Ardress House","Portadown",54.442902,-6.59239
"PLACE","The Argory","Dungannon",54.464401,-6.66035
"PLACE","Cushendun","Cushendun",55.1257,-6.04293
"PLACE","Springhill","Magherafelt",54.685699,-6.65569
"PLACE","Wellbrook Beetling Mill","Cookstown",54.6553,-6.83957
"PLACE","Carrick-a-Rede","Ballintoy",55.236698,-6.3328
"PLACE","Crom","Newtownbutler",54.162601,-7.44284
"PLACE","White Park Bay",NA,55.230638,-6.4028506
"PLACE","Giant's Causeway","Bushmills",55.240807,-6.511572
"PLACE","Portstewart Strand","Portstewart",55.172117,-6.724648
"PLACE","Mussenden Temple and Downhill Demesne","Castlerock",55.1609,-6.80705
"PLACE","Castle Coole","Enniskillen",54.336184,-7.624401
"PLACE","Florence Court","Enniskillen",54.258301,-7.72989
"PLACE","Gray's Printing Press","Strabane",54.8246,-7.46152
